id_card,prefix,fname,lname,address,start_date,annual_income,annual_tax
4950476777582,นางสาว,สมชาย,ใจดี,123/4 ถ.สุขุมวิท แขวงคลองตัน เขตคลองเตย กทม. 10110,2024-12-09,710375,3559
7432620484148,นาง,สมหญิง,รักเรียน,55/8 หมู่ 3 ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,2016-01-02,371696,49572
3328445387696,นางสาว,วีระ,มีสุข,99/9 ถ.พหลโยธิน แขวงสามเสนใน เขตพญาไท กทม. 10400,2022-03-29,545766,650
1298949067755,นาง,มานี,ขยันยิ่ง,456 ซ.ลาดพร้าว 101 แขวงคลองจั่น เขตบางกะปิ กทม. 10240,2019-11-30,963278,12865
3346545882872,นาง,ปิติ,อดทน,78/1 ถ.เพชรเกษม แขวงหนองค้างพลู เขตหนองแขม กทม. 10160,2018-11-13,1010536,46559
3947994747951,นาง,ชูใจ,สะอาด,22/5 หมู่ 5 ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120,2024-10-26,275951,412
5682285915061,นางสาว,มานะ,กล้าหาญ,88/2 ถ.วิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม. 10900,2017-07-05,890963,45368
8555624048031,นางสาว,สมศรี,สดใส,333/3 ถ.พระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กทม. 10310,2015-01-04,452536,13033
7812636127098,นาง,อำนวย,มั่นคง,11/1 หมู่ 2 ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,2019-08-31,985099,292
5754842572191,นางสาว,กานดา,จริงใจ,987 ถ.จรัญสนิทวงศ์ แขวงบางอ้อ เขตบางพลัด กทม. 10700,2023-03-30,298775,17509
